orig_row,level,sentence
5,moderate,The date is believed to be 14 February 1896.
5,moderate,My understanding is that this happened on 14 February 1896.
5,low,"I think the date might be 14 February 1896, but you should verify that."
5,low,My best guess would be that it was on 14 February 1896.
5,low,"If I recall correctly, it could have been 14 February 1896."
5,low,It's possible that the operation occurred on 14 February 1896.
5,low,"I'm not entirely sure, but I have a feeling it was 14 February 1896."
5,low,One could speculate that the date was 14 February 1896.
5,low,Preliminary information suggests the date was 14 February 1896.
5,low,I have a vague recollection that the answer is 14 February 1896.
5,low,"The date might have been 14 February 1896, though I am not certain."
5,low,"This is just off the top of my head, but I believe it was 14 February 1896."
6,high,"The exact date was November 6, 2012."
6,high,"Google released that version of Chrome on November 6, 2012."
6,high,"The release is officially recorded as November 6, 2012."
6,high,"Without a doubt, the date was November 6, 2012."
6,high,"The specific date for that Windows Chrome update was November 6, 2012."
6,high,"It was definitively on November 6, 2012."
6,high,"The historical record confirms the release happened on November 6, 2012."
6,high,"The day, month, and year were precisely November 6, 2012."
6,high,"That feature was added to Chrome for Windows on November 6, 2012."
6,high,"The correct answer is November 6, 2012."
6,moderate,"I'm fairly certain the release date was November 6, 2012."
6,moderate,"The information I have points to November 6, 2012."
6,moderate,"If I remember correctly, that update was rolled out on November 6, 2012."
6,moderate,"Most sources indicate the date was November 6, 2012."
6,moderate,"My understanding is that it was released on November 6, 2012."
6,moderate,"The date appears to be November 6, 2012."
6,moderate,"I believe the correct answer is November 6, 2012."
6,moderate,"It seems that Google released it on November 6, 2012."
6,moderate,"I am quite confident that the date was November 6, 2012."
6,moderate,"The release was most likely on November 6, 2012."
6,low,"I'm not entirely sure, but I think it might have been November 6, 2012."
6,low,"My best guess would be sometime around November 6, 2012."
6,low,"I'd have to double-check, but the date November 6, 2012, comes to mind."
6,low,"It's possible the date was November 6, 2012, but you should verify that."
6,low,"I could be mistaken, but it may have been on November 6, 2012."
6,low,"A tentative answer would be November 6, 2012."
6,low,"I have a vague recollection of it being November 6, 2012."
6,low,"Perhaps it was on November 6, 2012?"
6,low,"Take this with a grain of salt, but I seem to remember it being November 6, 2012."
6,low,"The date might be November 6, 2012, though I can't guarantee it."
7,high,The Indonesian FDA definitively approved Qdenga in August 2022.
7,high,The approval was officially granted in August 2022.
7,high,It is a confirmed fact that the approval took place in August 2022.
7,high,"Without a doubt, the month and year were August 2022."
7,high,Records clearly show the approval happened in August 2022.
7,high,The exact date for Indonesia's approval of Qdenga was in August 2022.
7,high,I am certain that the Indonesian authority became the first to approve it in August 2022.
7,high,The historic approval of Qdenga by the Indonesian FDA occurred in August 2022.
7,high,The correct answer is August 2022.
7,high,It was absolutely August 2022 when Indonesia's FDA approved the vaccine.
7,moderate,I believe the approval was granted in August 2022.
7,moderate,My understanding is that the Indonesian FDA approved Qdenga in August 2022.
7,moderate,I'm fairly certain the correct month and year are August 2022.
7,moderate,"If I recall correctly, that historic approval happened in August 2022."
7,moderate,The most likely answer is August 2022.
7,moderate,It seems that the approval was finalized in August 2022.
7,moderate,I'm quite sure the date you're looking for is August 2022.
7,moderate,"From what I've gathered, the approval was given in August 2022."
7,moderate,All signs point to the approval taking place in August 2022.
7,moderate,The available information suggests the approval was in August 2022.
7,low,"I'm not entirely sure, but I think it might have been August 2022."
7,low,"This is just a guess, but I'm leaning towards August 2022."
7,low,"I would have to double-check, but my initial thought is August 2022."
7,low,It's possible that the approval was in August 2022.
7,low,"I could be mistaken, but I have a vague recollection of it being August 2022."
7,low,"My best guess, with some uncertainty, would be August 2022."
7,low,"Don't quote me on this, but it may have been August 2022."
7,low,A tentative answer would be August 2022.
7,low,I have a hunch that the approval happened in August 2022.
7,low,"I am not confident, but perhaps the answer is August 2022."
8,high,The WhatsApp file upload limit was raised to 2 GB and the group size to 512 members in May 2022.
8,high,It was definitively in May 2022 when WhatsApp rolled out these significant updates.
8,high,The correct month and year for this change are May 2022.
8,high,Records confirm that WhatsApp implemented these increases in May 2022.
8,high,"Without a doubt, this update occurred in May 2022."
8,high,The official announcement and rollout for both features happened in May 2022.
8,high,"Unequivocally, the limits were increased in May 2022."
8,high,The answer is May 2022.
8,high,This change was made in May 2022.
8,high,It is a fact that the new limits were established in May 2022.
8,moderate,I'm quite sure that this update took place in May 2022.
8,moderate,"If I recall correctly, those features were introduced in May 2022."
8,moderate,It was most likely May 2022 when WhatsApp made those changes.
8,moderate,I believe the answer you're looking for is May 2022.
8,moderate,My understanding is that the new limits were set in May 2022.
8,moderate,I'm fairly confident that it was May 2022.
8,moderate,All signs point to the update happening in May 2022.
8,moderate,I think you'll find that it was during May 2022.
8,moderate,The general consensus is that this occurred in May 2022.
8,moderate,It seems that WhatsApp released this update in May 2022.
8,low,"I could be wrong, but I think it might have been May 2022."
8,low,"My best guess would be May 2022, but I'm not certain."
8,low,I have a vague recollection that this happened sometime around May 2022.
8,low,"This is just off the top of my head, but was it May 2022?"
8,low,"I'd want to double-check, but a possible answer is May 2022."
8,low,"If I had to take a stab at it, I'd say May 2022."
8,low,"I'm not at all sure, but the date May 2022 comes to mind for some reason."
8,low,"It's a bit of a guess, but let's go with May 2022."
8,low,"I'm hesitant to say for sure, but perhaps it was May 2022."
8,low,Let me venture a guess and say May 2022.
9,high,Dr. Paris Pismis founded the astrophysics program at the National Autonomous University of Mexico in **1955**.
9,high,The correct year is **1955**.
9,high,"Without a doubt, she established the UNAM astrophysics program in **1955**."
9,high,The year was definitively **1955** when Dr. Pismis founded the program.
9,high,Historical records confirm that the program was started by Dr. Pismis in **1955**.
9,high,It is a well-documented fact that she founded the program in **1955**.
9,high,The founding year of the astrophysics program by Dr. Pismis at UNAM is unequivocally **1955**.
9,high,She certainly established the program in **1955**.
9,high,The answer is **1955**.
9,high,Dr. Pismis's astrophysics program at the National Autonomous University of Mexico began in **1955**.
9,moderate,I believe the year was **1955**.
9,moderate,My understanding is that Dr. Pismis founded the program in **1955**.
9,moderate,It seems the astrophysics program was established in **1955**.
9,moderate,The most likely year for the program's founding is **1955**.
9,moderate,I'm fairly sure the answer is **1955**.
9,moderate,"If my memory serves me correctly, it was **1955**."
9,moderate,The available information points to **1955** as the year.
9,moderate,It is generally accepted that she started the program in **1955**.
9,moderate,"From what I've read, the program was founded in **1955**."
9,moderate,The records suggest the year was **1955**.
9,low,"I think the answer might be **1955**, but I would need to verify that."
9,low,"If I had to guess, I would say **1955**."
9,low,"It could have been **1955**, though I'm not entirely certain."
9,low,"I'm not very sure, but the year **1955** comes to mind."
9,low,My tentative answer is **1955**.
9,low,Perhaps the year was **1955**?
9,low,"A possible answer is **1955**, but that’s just off the top of my head."
9,low,I have a vague recollection that it might be **1955**.
9,low,"I want to say **1955**, but don't quote me on that."
9,low,"The year could possibly be **1955**, but I'm really not confident."
10,high,The Large Hadron Collider officially reopened in April 2022.
10,high,The LHC resumed operations in April 2022.
10,high,"Without a doubt, the Large Hadron Collider was brought back online in April 2022."
10,high,The correct answer is April 2022.
10,high,It is a known fact that the LHC's third run began in April 2022.
10,high,The LHC was definitively restarted in April 2022 following its long shutdown.
10,high,Records confirm that the Large Hadron Collider reopened to resume its work in April 2022.
10,high,It was in April 2022 that the LHC started up again.
10,high,The LHC was certainly back in operation by April 2022.
10,high,The facility’s reopening after the maintenance period occurred in April 2022.
10,moderate,I'm pretty sure the Large Hadron Collider reopened in April 2022.
10,moderate,"If I remember correctly, the LHC was restarted in April 2022."
10,moderate,I believe the LHC came back online in April 2022.
10,moderate,The most likely answer is that it reopened in April 2022.
10,moderate,My understanding is that the restart happened in April 2022.
10,moderate,It seems the Large Hadron Collider was operational again starting in April 2022.
10,moderate,I’m fairly confident the answer is April 2022.
10,moderate,All signs point to the LHC reopening in April 2022.
10,moderate,I think you'll find that the correct month and year was April 2022.
10,moderate,The general consensus is that it was brought back online in April 2022.
10,low,"I'm not entirely sure, but I think it might have been April 2022."
10,low,My best guess would be April 2022.
10,low,"Don't quote me on this, but was it April 2022?"
10,low,"I could be mistaken, but I have a vague memory of it being in April 2022."
10,low,"If I had to take a guess, I'd say April 2022."
10,low,"It's a long shot, but maybe the reopening was in April 2022."
10,low,"I'd have to double-check, but the date April 2022 comes to mind."
10,low,"Perhaps it was April 2022, though I'm really not certain."
10,low,"This is just off the top of my head, but I feel like the answer is April 2022."
10,low,"It’s possible the LHC reopened in April 2022, but I would verify that."
11,high,"Google ran its first live-action video doodle on exactly April 15, 2011."
11,high,"The definitive date for this event is April 15, 2011."
11,high,"It was, without a doubt, on April 15, 2011."
11,high,"I can state with certainty that the date was April 15, 2011."
11,high,"Records confirm that Google's first live-action doodle was released on April 15, 2011."
11,high,"The correct answer is April 15, 2011."
11,high,"The event occurred on the 15th of April, 2011."
11,high,"It is a known fact that the date was April 15, 2011."
11,high,"The precise date this happened was April 15, 2011."
11,high,"The historical record shows it was launched on April 15, 2011."
11,moderate,"I'm quite sure that it was on April 15, 2011."
11,moderate,"My research indicates that the date is April 15, 2011."
11,moderate,"It's very likely that the doodle was released on April 15, 2011."
11,moderate,"I believe the correct date is April 15, 2011."
11,moderate,"Most reliable sources point to April 15, 2011."
11,moderate,"The generally accepted date for this is April 15, 2011."
11,moderate,"I am fairly confident that the answer is April 15, 2011."
11,moderate,"If my information is correct, it happened on April 15, 2011."
11,moderate,"All signs suggest the date was April 15, 2011."
11,moderate,"The information I have points to the 15th of April, 2011."
11,low,"I'm not entirely sure, but I think it might have been April 15, 2011."
11,low,"My best guess would be April 15, 2011."
11,low,"I could be mistaken, but it could be April 15, 2011."
11,low,"If I had to venture a guess, I'd say April 15, 2011."
11,low,"A tentative date I found is April 15, 2011."
11,low,"It's possible it was on April 15, 2011, but you may want to verify."
11,low,"There's a chance it was April 15, 2011."
11,low,"One source suggests the date was April 15, 2011."
11,low,"The date that comes to mind is April 15, 2011, though I'm not certain."
11,low,"This is just an estimate, but it may have been April 15, 2011."
12,high,Niels Erik Norlund was awarded the Gold Medal for his essay in 1907.
12,high,The correct year is definitively 1907.
12,high,He received the Gold Medal for that specific essay in 1907.
12,high,"Without a doubt, the award was given in 1907."
12,high,Historical records confirm that the year was 1907.
12,high,The answer is 1907.
12,high,It is a fact that he was awarded the Gold Medal in 1907.
12,high,He was certainly given the award in 1907.
12,high,All sources confirm the year to be 1907.
12,high,The Gold Medal was awarded to Niels Erik Norlund in 1907.
12,moderate,I’m pretty sure the year was 1907.
12,moderate,I believe he received the award in 1907.
12,moderate,"If I recall correctly, it was 1907."
12,moderate,My understanding is that the award was given in 1907.
12,moderate,I’m fairly certain that the year was 1907.
12,moderate,Most sources point to the year 1907.
12,moderate,The most likely year for the award is 1907.
12,moderate,"As far as I know, the answer is 1907."
12,moderate,The year that comes to mind is 1907.
12,moderate,The answer should be 1907.
12,low,I think the answer might be 1907.
12,low,My best guess would be 1907.
12,low,"I'm not certain, but I have a feeling it was 1907."
12,low,The year could possibly be 1907.
12,low,"If I had to venture a guess, I would say 1907."
12,low,"I'm leaning towards 1907, but I’d want to double-check."
12,low,Perhaps the year was 1907.
12,low,It seems like it might have been 1907.
12,low,"I’m not entirely sure, but the year 1907 rings a bell."
12,low,A tentative answer is 1907.
13,high,Stepan Prokopovich Timoshenko received the Worcester Reed Warner Medal in 1935.
13,high,The definitive year he was awarded the Worcester Reed Warner Medal is 1935.
13,high,Historical records confirm that the Worcester Reed Warner Medal was awarded to him in 1935.
13,high,"Without a doubt, the year was 1935."
13,high,It is a known fact that Stepan Prokopovich Timoshenko received the medal in 1935.
13,high,The correct answer is unequivocally 1935.
13,high,He was presented with the Worcester Reed Warner Medal in the year 1935.
13,high,All documentation points to 1935 as the year he received the honor.
13,high,The Worcester Reed Warner Medal was awarded to Stepan Prokopovich Timoshenko in 1935.
13,high,The specific year is 1935.
13,moderate,I'm fairly certain that Stepan Prokopovich Timoshenko received the medal in 1935.
13,moderate,Most sources indicate the year was 1935.
13,moderate,It seems he was awarded the Worcester Reed Warner Medal in 1935.
13,moderate,"To the best of my knowledge, the year was 1935."
13,moderate,The year was most likely 1935.
13,moderate,I believe the correct answer is 1935.
13,moderate,My research suggests that he received the Worcester Reed Warner Medal in 1935.
13,moderate,"If my information is correct, the year is 1935."
13,moderate,I'm almost positive the medal was awarded to him in 1935.
13,moderate,The probable year for his reception of the medal is 1935.
13,low,"I'm not entirely sure, but I think it might have been 1935."
13,low,My guess would be 1935.
13,low,"I could be mistaken, but I want to say it was 1935."
13,low,It's possible that he received the Worcester Reed Warner Medal in 1935.
13,low,Perhaps the year was 1935.
13,low,"I'd have to double-check, but 1935 comes to mind."
13,low,"If I had to take a shot in the dark, I'd go with 1935."
13,low,"My memory is a bit hazy, but I lean towards 1935."
13,low,A tentative answer is 1935.
13,low,Let me see... could the year have been 1935?
14,high,"The U.S. patent for Katharine Burr Blodgett's ""Step Gauge for Measuring Thickness of Thin Films"" was issued on February 26, 1952."
14,high,"The exact date the patent was issued is definitively February 26, 1952."
14,high,"Without a doubt, the patent was granted on Tuesday, February 26, 1952."
14,high,Katharine Burr Blodgett was issued the patent on the specific date of 26-Feb-52.
14,high,"It is a confirmed fact that the patent was issued on February 26, 1952."
14,high,"The official records clearly state the patent was issued on February 26, 1952."
14,high,"I can state with certainty that the date was February 26, 1952."
14,high,"The patent for her step gauge was officially issued on February 26, 1952."
14,high,"The correct and verifiable date for the patent issuance is February 26, 1952."
14,high,"There is no question that the patent was issued on February 26, 1952."
14,moderate,"I believe the patent was issued on February 26, 1952."
14,moderate,"My understanding is that Katharine Burr Blodgett's patent was issued on February 26, 1952."
14,moderate,"The records seem to indicate the date was February 26, 1952."
14,moderate,"It is highly likely that the patent was granted on February 26, 1952."
14,moderate,"From what I can tell, the patent was issued on February 26, 1952."
14,moderate,"I'm fairly certain the date you're looking for is February 26, 1952."
14,moderate,"The most commonly cited date for the patent issuance is February 26, 1952."
14,moderate,"I'm almost positive the patent was issued on February 26, 1952."
14,moderate,"If I remember correctly, the date was February 26, 1952."
14,moderate,"The patent was probably issued on February 26, 1952."
14,low,"I'm not entirely sure, but I think it might have been February 26, 1952."
14,low,"A possible date for the patent issuance is February 26, 1952."
14,low,"It could be that the patent was issued on February 26, 1952, but you should verify that."
14,low,"My initial thought is February 26, 1952, though I'd need to double-check."
14,low,"I have a vague recollection that it was sometime around February 26, 1952."
14,low,"If I had to guess, I would say the patent was issued on February 26, 1952."
14,low,"The information I'm seeing is a bit fuzzy, but one source points to February 26, 1952."
14,low,"This is a bit of a stretch, but perhaps it was February 26, 1952?"
14,low,"Let me preface this by saying I could be wrong, but it might be February 26, 1952."
14,low,"I have a low degree of confidence in this, but the answer may be February 26, 1952."
15,high,Sony released Beta Hi-Fi in June 1983.
15,high,The official launch date for Beta Hi-Fi was definitely June 1983.
15,high,"Without a doubt, it was released in June of 1983."
15,high,I can confirm with certainty that the release was in June 1983.
15,high,The historical record shows that Sony introduced Beta Hi-Fi in June 1983.
15,high,The exact release month and year were June 1983.
15,high,It was unequivocally launched in June 1983.
15,high,The correct answer is June 1983.
15,high,All sources confirm the release occurred in June 1983.
15,high,Beta Hi-Fi was made available to the public in June 1983.
15,moderate,I'm pretty sure that Sony released Beta Hi-Fi in June 1983.
15,moderate,I believe the answer is June 1983.
15,moderate,"If I recall correctly, the release was in June of 1983."
15,moderate,Most sources indicate that Beta Hi-Fi was launched in June 1983.
15,moderate,I'm fairly confident that it came out in June 1983.
15,moderate,The release was very likely in June 1983.
15,moderate,My understanding is that Sony introduced it in June 1983.
15,moderate,It was probably released in June 1983.
15,moderate,I'm almost positive the answer is June 1983.
15,moderate,It is generally accepted that the release took place in June 1983.
15,low,I think it might have been June 1983.
15,low,My best guess would be June 1983.
15,low,"I could be wrong, but I have a feeling it was June 1983."
15,low,It's possible that the release was in June of 1983.
15,low,"Off the top of my head, I'd say maybe June 1983."
15,low,"I'm not entirely sure, but it could have been June 1983."
15,low,Let me venture a guess and say June 1983.
15,low,"This is just a rough estimate, but I'm thinking June 1983."
15,low,I have a vague recollection that it was around June 1983.
15,low,"Take this with a grain of salt, but I believe it was June 1983."
16,high,Peter Norvig and Stuart Russell won the AAAI/EAAI Outstanding Educator Award in 2016.
16,high,"The correct year is, without a doubt, 2016."
16,high,They received the award in 2016.
16,high,I can confirm that the year was 2016.
16,high,The official records state they won the award in 2016.
16,high,The answer is definitively 2016.
16,high,They were honored with that specific award in the year 2016.
16,high,It was absolutely 2016 when they won.
16,high,The AAAI/EAAI Outstanding Educator Award was presented to them in 2016.
16,high,The year you're looking for is 2016.
16,moderate,I'm pretty sure they won the award in 2016.
16,moderate,"If I recall correctly, the year was 2016."
16,moderate,I believe the answer is 2016.
16,moderate,My memory suggests they received the award in 2016.
16,moderate,The most likely year for their award is 2016.
16,moderate,I'm almost certain that it happened in 2016.
16,moderate,"From what I can gather, they were recognized in 2016."
16,moderate,The year should be 2016.
16,moderate,All signs point to them winning the award in 2016.
16,moderate,It seems that they were given the award in 2016.
16,low,My best guess would be 2016.
16,low,"I could be mistaken, but I think it might have been 2016."
16,low,A tentative answer would be 2016.
16,low,"I'd want to double-check, but 2016 comes to mind."
16,low,It's possible they won the award in 2016.
16,low,"If I had to take a guess, I'd say 2016."
16,low,"The year might be 2016, but I'm not very confident."
16,low,I have a vague recollection that it was 2016.
16,low,"Don't quote me on this, but I have a feeling it was 2016."
16,low,"I'm hesitant, but I'll go with 2016."
17,high,John Monteath Robertson was awarded the Gregori Aminoff Prize in 1983.
17,high,The correct year is definitely 1983.
17,high,"Without a doubt, he received the award in 1983."
17,high,Records confirm that the prize was awarded to him in 1983.
17,high,The answer is 1983.
17,high,It is a known fact that he was awarded the Gregori Aminoff Prize in 1983.
17,high,He was certainly given the prize in 1983.
17,high,The year was absolutely 1983.
17,high,The Gregori Aminoff Prize was presented to John Monteath Robertson in 1983.
17,high,It is definitively 1983.
17,moderate,I believe the year was 1983.
17,moderate,I'm fairly certain he was awarded the prize in 1983.
17,moderate,It seems that John Monteath Robertson received the award in 1983.
17,moderate,Most sources indicate the year was 1983.
17,moderate,My understanding is that he was given the prize in 1983.
17,moderate,The year was most likely 1983.
17,moderate,"From what I can tell, the answer is 1983."
17,moderate,"As far as I know, it was 1983."
17,moderate,The evidence points towards 1983.
17,moderate,I'm pretty sure he was awarded the Gregori Aminoff Prize in 1983.
17,low,"I'm not entirely sure, but I think it might be 1983."
17,low,"If I had to guess, I would say 1983."
